scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,subst_name1,bus_id_1,matching1%,matching2%,Coordinate0,Endpoint,subst_name2,bus_id_2,Cordinate1,Distance,Voltage,s_nom.1,NOVA-Type,Comments,Coordinate1,,,
AMP-P310,29355,33976,32960,,AC,,,,,,,,,1,2025,40,,229.193637698436,3,,,,,,,,,,Draxlanden,Karlsruhe-Daxlanden,33976,62.07,33.33,8.313340225406092 49.0090434723512,Kühmoos,Lastverteilung/Schaltanlage Kühmoos,32960,7.9580759143156,47.5954779452788,229.1936377,380,,Errichtung einer Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Zubeseilung,7.958075914315599 47.59547794527875,
AMP-P460,29356,31205,31205,,AC,,,,,,,,,1,2024,40,,0,,,,,,,,,,,Büscherhof ,Station Büscherhof,31205,68.97,68.97,6.926758989258765 51.49920569585058,Büscherhof ,Station Büscherhof,31205,6.92675898925877,51.4992056958506,0,380,,"Änderung oder Erweiterung einer Leitung: Zu- oder
Umbeseilung",Spannungsumstellung, beantragung der kapazitätseröhung auf 400MVA,6.926758989258765 51.49920569585058,
TTG-006,29357,31062,31544,,AC,,,,,,,,,1,2024,40,,158.052852965916,6,,,,,,,,EnLAG,6,Wahle,Wahle 380 kV,31062,58.82,100,10.365338662586142 52.28466156477866,Mecklar,Mecklar,31544,9.74602653032652,50.9174270688464,158.052853,380,,Errichtung einer Leitung: Neubau in neuer Trasse,Stromtragfähigkeit 4000A,9.746026530326525 50.9174270688464,,
TTG-007,29358,35432,33964,,AC,,,,,,,,,1,2024,40,,326.868835012864,6,,,,,,,,EnLAG,5,Dörpen / West,Umspannwerk Freising/West,35432,42.11,40,11.727421481025022 48.40777764876781,Niederrhein (Punkt Meppen),Umspannwerk Niederhausen,33964,7.79232558177691,49.8105162294106,326.868835,380,2366.6MVA,Errichtung einer Leitung: Neubau in neuer Trasse,Stromtragfähigkeit 3600A,7.79232558177691 49.81051622941055,,
TTG-009,29359,31114,31825,,AC,,,,,,,,,1,2023,40,,48.2828714856075,6,,,,,,,,EnLAG,2,Ganderkesee,Ganderkesee,31114,100,57.14,8.563991876746766 53.03191782682749,St. Hülfe,Station Sankt Hülfe,31825,8.40350236040683,52.6090760112451,48.28287149,380,2629.6MVA,Errichtung einer Leitung: Neubau in neuer Trasse,Stromtragfähigkeit 3300A,8.403502360406835 52.60907601124505,,
TTG-P21,29360,31026,32653,,AC,,,,,,,,,1,2026,40,,40.9524696397504,6,,,,,,,,,,Conneforde,Conneforde,31026,100,70.59,8.052813201940419 53.33191378148668,Garrel/ Ost,Garrel,32653,8.02725840803316,52.9642517322177,40.95246964,380,2629.6MVA,Errichtung einer Lei- tung: Ersatzneubau,Stromtragfähigkeit 4000A,8.027258408033157 52.96425173221768,,
TTG-P21,29361,32653,32297,,AC,,,,,,,,,1,2026,40,,164.226216236413,6,,,,,,,,,,Garrel/ Ost,Garrel,32653,70.59,63.64,8.027258408033157 52.96425173221768,Cappeln/West,Peine/West,32297,10.2152107161523,52.3261931452375,164.2262162,380,2629.6MVA,Errichtung einer Lei- tung: Ersatzneubau,Stromtragfähigkeit 4000A,10.215210716152301 52.326193145237504,,
TTG-P21,29362,32297,,,AC,,,,,,,,,1,2026,40,,,6,,,,,,,,,,Cappeln/West,Peine/West,32297,63.64,,10.215210716152301 52.326193145237504,Regel- zonengrenze TTG/AMP,,,,,380,,Errichtung einer Leitung: Neubau in neuer Trasse,,,,,
TTG-P24,29363,35218,31117,,AC,,,,,,,,,1,2026,40,,143.636498052449,6,,,,,,,,BBP,7,Stade/West,Umspannwerk Stade-West,35218,56.25,100,9.489805273447082 53.63250357479064,Dollern,Dollern,31117,9.5017900323935,53.5428146800501,143.6364981,380,2629.6MVA,Errichtung einer Lei- tung: Ersatzneubau,Stromtragfähigkeit 4000A,9.501790032393501 53.54281468005007,,
TTG-P24,29364,31117,33494,,AC,,,,,,,,,1,2026,40,,50.6213936906668,6,,,,,,,,BBP,7,Dollern,Dollern,31117,100,100,9.501790032393501 53.54281468005007,Sottrum,Sottrum,33494,9.24951109760078,53.113770117612,50.62139369,380,2629.6MVA,Errichtung einer Lei- tung: Ersatzneubau,Stromtragfähigkeit 4000A,9.249511097600784 53.11377011761198,,
TTG-P24,29365,33494,,,AC,,,,,,,,,1,2026,40,,,6,,,,,,,,BBP,7,Sottrum,Sottrum,33494,100,,9.249511097600784 53.11377011761198,Mehringen (Grafschaft Hoya),,,,,380,2629.6MVA,Errichtung einer Lei- tung: Ersatzneubau,Stromtragfähigkeit 4000A,,,,
