Application;Plant;Landkreis Number;Annual Tonnes;Capacity or Production;Latitude;Longitude
Technical/Special Paper and Board;Papierfabrik Poerringer GmbH & Co. KG ;7337;3450.00;Production;49.203846;7.947915
Packing Paper and Board;Papierfabrik Vreden GmbH;5554;146000.00;Capacity;52.031607;6.827414
Technical/Special Paper and Board;Papierwerke Lenk AG;8317;36000.00;Capacity;48.596374;8.115822
Packing Paper and Board;Pappenfabrik Nierfeld Joseph Piront GmbH & Co.KG;5366;8500.00;Production;50.558788;6.495455
Packing Paper and Board;Pappenfabrik Trauchgau GmbH & Co. KG;9777;19000.00;Capacity;47.641545;10.816757
Technical/Special Paper and Board;Pfleiderer Teisnach GmbH & Co. KG;9276;40000.00;Production;49.042518;12.999989
Packing Paper and Board;Progroup Paper PM1 GmbH;15086;320000.00;Production;52.253299;11.881811
Packing Paper and Board;Progroup Paper PM2 GmbH;12067;650000.00;Production;52.171644;14.64056
Packing Paper and Board;R.D.M. Arnsberg GmbH;5958;220000.00;Capacity;51.392388;8.072591
Graphic Paper;Reflex GmbH & Co. KG;5358;20000.00;Capacity;50.816001;6.468773
Technical/Special Paper and Board;Sappi Alfeld GmbH;3254;300000.00;Production;51.98540;9.82227 
Graphic Paper;Sappi Ehingen GmbH ;8425;275000.00;Capacity;48.269887;9.727426
Graphic Paper;Sappi Stockstadt GmbH ;9671;445000.00;Production;49.977482;9.066698
Technical/Special Paper and Board;Schoeller Technocell GmbH & Co. KG Werk Guenzach;9777;56000.00;Capacity;47.8212;10.433989
Technical/Special Paper and Board;Schoeller Technocell GmbH & Co. KG Werk Neustadt;8315;28000.00;Capacity;47.905798;8.22607
Technical/Special Paper and Board;Schoeller Technocell GmbH & Co. KG Werk Osnabrueck   ;3404;109000.00;Capacity;52.274071;8.120899
Technical/Special Paper and Board;Schoeller Technocell GmbH & Co. KG Werk Penig;14522;28000.00;Capacity;50.933925;12.708546
Graphic Paper;Schoeller Technocell GmbH & Co. KG Werk Weissenborn;14522;105000.00;Capacity;50.870914;13.39333
Packing Paper and Board;Schoellershammer GmbH & Co. KG;5358;500000.00;Capacity;50.777112;6.486039
Graphic Paper;Schoenfelder Papierfabrik GmbH ;14521;50000.00;Production;50.714495;12.75808
Packing Paper and Board;Schumacher Packaging GmbH Werk Schwarzenberg;14521;46000.00;Production;50.534729;12.808939
Technical/Special Paper and Board;Schwarzwald Papierwerke AG;8315;25000.00;Production;47.905805;8.226006
Packing Paper and Board;Smurfit Kappa Herzberg Solid Board GmbH;3159;260000.00;Production;51.66156;10.352631
Packing Paper and Board;Smurfit Kappa Hoya Papier und Karton GmbH;3256;425000.00;Production;52.809563;9.155994
Packing Paper and Board;Smurfit Kappa Wrexen Paper & Board GmbH;6635;320000.00;Production;51.50647;8.9794
Packing Paper and Board;Smurfit Kappa Zuelpich Papier GmbH;5366;400000.00;Production;50.705862;6.652424
Packing Paper and Board;Sprick GmbH Bielefelder Papier- und Wellpappenwerke & Co. Hauptverwaltung;5711;35000.00;Capacity;52.02500;8.56278
Packing Paper and Board;Sprick GmbH Bielefelder Papier- und Wellpappenwerke & Co. Werk Mitte;6635;70000.00;Capacity;52.039983;8.607516
Graphic Paper;Steinbeis Papier GmbH;1061;300000.00;Capacity;53.781921;9.425706
Graphic Paper;Stora Enso Maxau GmbH;8212;530000.00;Capacity;49.040594;8.311107
Graphic Paper;Stora Enso Sachsen GmbH;14730;310000.00;Capacity;51.465591;12.591755
Graphic Paper;UPM GmbH Werk Schongau;9190;730000.00;Capacity;47.808284;10.902286
Graphic Paper;UPM Augsberg GmbH;9761;360000.00;Capacity;48.37893;10.899761
Graphic Paper;UPM Huerth Rhein Papier GmbH;5362;330000.00;Capacity;50.858932;6.836825
Graphic Paper;UPM Nordland Papier GmbH;3454;1235000.00;Capacity;52.980566;7.361823
Graphic Paper;UPM Plattling MD Papier GmbH ;9271;785000.00;Capacity;48.796223;12.861907
Packing Paper and Board;W & M Pappen GmbH & Co. KG;5766;9855.00;Production;51.912602;9.252666
Hygiene Paper;WEPA Hygieneprodukte GmbH Standor Mainz;7315;43077.00;Production;50.028956;8.23207
Hygiene Paper;WEPA Hygieneprodukte GmbH Standort Giershagen;5958;101539.00;Production;51.419486;8.810109
Hygiene Paper;WEPA Hygieneprodukte GmbH Werk Arnsberg;5958;114873.00;Production;51.409108;7.99213
Hygiene Paper;WEPA Leuna GmbH;15088;44103.00;Production;51.288648;11.985719
